d3ba2ac was Fridayk7, 16 minutes ago, message: Merge branch 'master' of https://github.com/Fridayk7/Assessment3
eb71904 was Fridayk7, 16 minutes ago, message: final commit
bfbcd73 was Fridayk7, 56 minutes ago, message: Update README.md
efdd3d9 was Fridayk7, 2 hours ago, message: last commit
3f14866 was Fridayk7, 3 hours ago, message: puma update
4ee9ca2 was Fridayk7, 3 hours ago, message: redirect corrections
1964037 was Fridayk7, 4 hours ago, message: cucumber test
b3d9ece was Fridayk7, 29 hours ago, message: seeding fixed
39f013e was Fridayk7, 2 days ago, message: images and user session period
a8ae89d was Fridayk7, 3 days ago, message: minor stock
332f6ae was Fridayk7, 3 days ago, message: Admin seed
6ebaf4e was Fridayk7, 3 days ago, message: Amdin seed
f47a903 was Fridayk7, 3 days ago, message: rails-ujs
f2fb2eb was Fridayk7, 3 days ago, message: Price
5eda2b0 was Fridayk7, 3 days ago, message: Price
a1a1f0a was Fridayk7, 3 days ago, message: paginate, header
9f17cab was Fridayk7, 3 days ago, message: Authentication, graph
fe850bb was Fridayk7, 3 days ago, message: authentication
52cdf1c was Fridayk7, 3 days ago, message: my_log
8e99699 was Fridayk7, 3 days ago, message: stock filter
83d3ad7 was Fridayk7, 3 days ago, message: Search improved
186b3c8 was Fridayk7, 3 days ago, message: Guest
97ff937 was Fridayk7, 3 days ago, message: Address and seeding
d83c727 was Fridayk7, 3 days ago, message: Quantity and credit_card improved
3920839 was Fridayk7, 7 days ago, message: 06 12 seeding and test
472e1e5 was Fridayk7, 13 days ago, message: csv
1fe4ddc was Fridayk7, 2 weeks ago, message: problem card
f441c1c was Fridayk7, 2 weeks ago, message: csv
259937b was Fridayk7, 2 weeks ago, message: Heroku
7cda11b was Fridayk7, 2 weeks ago, message: s
c2144d3 was Fridayk7, 2 weeks ago, message: g
59416df was Fridayk7, 2 weeks ago, message: p
809b7cc was Fridayk7, 2 weeks ago, message: Seed correciton
dafa8a2 was Fridayk7, 2 weeks ago, message: Stock seed csv
f0f66d3 was Fridayk7, 2 weeks ago, message: rmeove column
dab5d64 was Fridayk7, 2 weeks ago, message: Multi Purchase working
3a31507 was Fridayk7, 2 weeks ago, message: Filter DropDown
edc98ec was Fridayk7, 3 weeks ago, message: Open Data Chart
dd23ac5 was Fridayk7, 3 weeks ago, message: Simple filtering
a84494d was Fridayk7, 3 weeks ago, message: Basic Search
1ea3b5f was Fridayk7, 3 weeks ago, message: Top user picks
1bb423e was Fridayk7, 3 weeks ago, message: Purchase single working, Live prices, paginate
30dde5b was Fridayk7, 3 weeks ago, message: Cart page, more authentication on admin
a71d7e4 was Fridayk7, 3 weeks ago, message: Updated nav bar
6d76200 was Fridayk7, 3 weeks ago, message: Merge pull request #1 from Fridayk7/Orders
f8425d2 was Fridayk7, 3 weeks ago, message: encrypted number card and backup csv
acc4310 was Fridayk7, 3 weeks ago, message: Crad number encrypted & db backup csv
b5d4a71 was Fridayk7, 3 weeks ago, message: Orders working , card details not encrypted
56b1461 was Fridayk7, 3 weeks ago, message: Update Gemfile for Heroku
3bf561a was Fridayk7, 3 weeks ago, message: Stocks created
0bca625 was Fridayk7, 3 weeks ago, message: Yugioh sets and csv
0b0c2e2 was Fridayk7, 5 weeks ago, message: card info csv parsing
800cbd7 was Fridayk7, 5 weeks ago, message: Login first update
99ef237 was Fridayk7, 5 weeks ago, message: first commit
