card, set, printTag, price, quantity
Armaill,Legend of Blue Eyes White Dragon,LOB-EN079,calls per minutes limit reached,81
Armaill,Legend of Blue Eyes White Dragon,LOB-079,1.54,35
Armaill,Legend of Blue Eyes White Dragon,LOB-E062,2.53,84
Armed Ninja,Legend of Blue Eyes White Dragon,LOB-EN106,calls per minutes limit reached,24
Armed Ninja,Legend of Blue Eyes White Dragon,LOB-106,1.14,57
Armed Ninja,Legend of Blue Eyes White Dragon,LOB-E086,9.57,83
Armored Starfish,Legend of Blue Eyes White Dragon,LOB-EN116,2.75,81
Armored Starfish,Legend of Blue Eyes White Dragon,LOB-116,0.99,62
Armored Starfish,Legend of Blue Eyes White Dragon,LOB-E094,9.06,13
Beast Fangs,Legend of Blue Eyes White Dragon,LOB-EN041,6.95,70
Beast Fangs,Legend of Blue Eyes White Dragon,LOB-041,calls per minutes limit reached,63
Beast Fangs,Legend of Blue Eyes White Dragon,LOB-E032,9.59,75
Beaver Warrior,Legend of Blue Eyes White Dragon,LOB-EN064,6.95,28
Beaver Warrior,Legend of Blue Eyes White Dragon,LOB-064,1.05,53
Charubin the Fire Knight,Legend of Blue Eyes White Dragon,LOB-EN015,0.0,11
Charubin the Fire Knight,Legend of Blue Eyes White Dragon,LOB-015,1.22,31
Charubin the Fire Knight,Legend of Blue Eyes White Dragon,LOB-E011,16.28,6
Curse of Dragon,Legend of Blue Eyes White Dragon,LOB-EN066,16.53,44
Curse of Dragon,Legend of Blue Eyes White Dragon,LOB-066,4.08,66
Curse of Dragon,Legend of Blue Eyes White Dragon,LOB-E053,28.12,51
Dark Energy,Legend of Blue Eyes White Dragon,LOB-EN088,0.0,94
Dark Energy,Legend of Blue Eyes White Dragon,LOB-088,1.68,78
Dark Energy,Legend of Blue Eyes White Dragon,LOB-E068,2.53,65
Dark Gray,Legend of Blue Eyes White Dragon,LOB-EN011,4.95,38
Dark Gray,Legend of Blue Eyes White Dragon,LOB-011,1.04,50
Dark Gray,Legend of Blue Eyes White Dragon,LOB-E008,2.67,35
Dark Hole,Legend of Blue Eyes White Dragon,LOB-EN052,7.63,43
Dark Hole,Legend of Blue Eyes White Dragon,LOB-052,2.08,53
Dark Hole,Legend of Blue Eyes White Dragon,LOB-E041,22.37,70
Dark King of the Abyss,Legend of Blue Eyes White Dragon,LOB-EN020,6.95,37
Dark King of the Abyss,Legend of Blue Eyes White Dragon,LOB-020,1.02,18
Dark King of the Abyss,Legend of Blue Eyes White Dragon,LOB-E016,29.13,14
Dark Magician,Legend of Blue Eyes White Dragon,LOB-EN005,7.85,56
Dark Magician,Legend of Blue Eyes White Dragon,LOB-005,9.84,57
Dark Magician,Legend of Blue Eyes White Dragon,LOB-E003,42.36,0
Darkfire Dragon,Legend of Blue Eyes White Dragon,LOB-EN019,4.78,11
Darkfire Dragon,Legend of Blue Eyes White Dragon,LOB-019,5.02,64
Darkfire Dragon,Legend of Blue Eyes White Dragon,LOB-E015,11.49,45
Darkworld Thorns,Legend of Blue Eyes White Dragon,LOB-EN114,4.95,76
Darkworld Thorns,Legend of Blue Eyes White Dragon,LOB-114,0.99,30
Darkworld Thorns,Legend of Blue Eyes White Dragon,LOB-E092,12.91,13
Dissolverock,Legend of Blue Eyes White Dragon,LOB-EN031,15.53,20
Dissolverock,Legend of Blue Eyes White Dragon,LOB-031,1.02,72
Dissolverock,Legend of Blue Eyes White Dragon,LOB-E025,13.09,37
Dragon Capture Jar,Legend of Blue Eyes White Dragon,LOB-EN045,4.45,91
Dragon Capture Jar,Legend of Blue Eyes White Dragon,LOB-045,1.25,57
Dragon Capture Jar,Legend of Blue Eyes White Dragon,LOB-E035,14.73,19
Dragon Treasure,Legend of Blue Eyes White Dragon,LOB-EN092,6.95,41
Dragon Treasure,Legend of Blue Eyes White Dragon,LOB-092,1.54,40
Dragon Treasure,Legend of Blue Eyes White Dragon,LOB-E072,16.39,65
Dragoness the Wicked Knight,Legend of Blue Eyes White Dragon,LOB-EN086,0.0,52
Dragoness the Wicked Knight,Legend of Blue Eyes White Dragon,LOB-086,2.13,28
Drooling Lizard,Legend of Blue Eyes White Dragon,LOB-EN115,4.95,91
Drooling Lizard,Legend of Blue Eyes White Dragon,LOB-115,1.03,72
Drooling Lizard,Legend of Blue Eyes White Dragon,LOB-E093,11.63,7
Electro-Whip,Legend of Blue Eyes White Dragon,LOB-EN093,4.95,31
Electro-Whip,Legend of Blue Eyes White Dragon,LOB-093,1.06,3
Electro-Whip,Legend of Blue Eyes White Dragon,LOB-E073,8.1,30
Enchanting Mermaid,Legend of Blue Eyes White Dragon,LOB-EN084,0.0,40
Enchanting Mermaid,Legend of Blue Eyes White Dragon,LOB-084,1.01,73
Enchanting Mermaid,Legend of Blue Eyes White Dragon,LOB-E066,1.66,15
Exodia the Forbidden One,Legend of Blue Eyes White Dragon,LOB-EN124,0.0,58
Exodia the Forbidden One,Legend of Blue Eyes White Dragon,LOB-124,14.78,7
Exodia the Forbidden One,Legend of Blue Eyes White Dragon,LOB-E101,28.16,65
